country,import_leisure,import_politics,import_work,goals_parents_proud,men_political_leaders,univ_boy_girl,happiness,health,freedom,standard_of_living,trust,confidence_gov,confidence_univ,everyone_provided,corrupt,sci_tech_life,sci_not_important,age,age_3cat,highest_edu_3cat,income_3cat
CHN,rather important,rather important,rather important,agree,disagree,disagree,rather happy,fair,5,better off,most people can be trusted,a great deal,quite a lot,1,6,3,3,37,30-49 years,middle,low
CHN,rather important,very important,very important,disagree,disagree,disagree,rather happy,very good,6,better off,most people can be trusted,quite a lot,not very much,6,8,8,2,19,16-29 years,middle,medium
CHN,rather important,rather important,rather important,agree,agree,disagree,very happy,fair,8,better off,need to be very careful,a great deal,quite a lot,2,8,8,1,66,50 years and over,lower,medium
CHN,rather important,rather important,not very important,agree,agree,disagree,rather happy,fair,7,better off,most people can be trusted,a great deal,quite a lot,1,NA,10,8,56,50 years and over,lower,medium
CHN,not very important,rather important,very important,agree,agree,agree,rather happy,good,7,better off,need to be very careful,quite a lot,not very much,1,10,7,4,40,30-49 years,lower,low
CHN,not very important,rather important,rather important,agree,disagree,strongly disagree,rather happy,very good,8,worse off,need to be very careful,a great deal,a great deal,1,1,10,1,46,30-49 years,lower,medium
CHN,not very important,rather important,very important,disagree,agree,disagree,not very happy,fair,1,better off,need to be very careful,quite a lot,quite a lot,3,10,10,1,42,30-49 years,middle,low
CHN,rather important,rather important,not very important,agree,disagree,disagree,rather happy,good,8,better off,most people can be trusted,quite a lot,quite a lot,10,2,10,1,68,50 years and over,lower,low
CHN,rather important,very important,not very important,agree,agree,disagree,very happy,fair,8,better off,most people can be trusted,quite a lot,quite a lot,8,6,NA,NA,67,50 years and over,lower,medium
CHN,rather important,very important,very important,agree,agree,disagree,very happy,fair,9,worse off,most people can be trusted,quite a lot,a great deal,1,8,NA,NA,69,50 years and over,lower,low
CHN,rather important,not very important,rather important,disagree,agree,disagree,rather happy,fair,5,better off,need to be very careful,quite a lot,quite a lot,1,9,10,1,30,30-49 years,high,low
CHN,rather important,not very important,NA,disagree,disagree,disagree,rather happy,very good,3,better off,most people can be trusted,a great deal,quite a lot,3,4,9,1,19,16-29 years,high,medium
CHN,not very important,not very important,not very important,disagree,disagree,disagree,rather happy,good,8,worse off,need to be very careful,quite a lot,quite a lot,9,2,9,3,30,30-49 years,lower,low
CHN,rather important,not very important,not very important,disagree,disagree,disagree,rather happy,very good,5,better off,most people can be trusted,a great deal,quite a lot,5,6,10,2,35,30-49 years,lower,medium
CHN,very important,very important,rather important,agree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,quite a lot,quite a lot,7,8,10,1,58,50 years and over,middle,medium
CHN,rather important,not very important,rather important,disagree,disagree,disagree,rather happy,fair,6,worse off,most people can be trusted,a great deal,a great deal,10,8,8,1,35,30-49 years,middle,low
CHN,not very important,not very important,rather important,agree,agree,strongly disagree,rather happy,good,8,better off,most people can be trusted,quite a lot,quite a lot,2,10,10,1,28,16-29 years,high,medium
CHN,rather important,rather important,rather important,strongly agree,agree,disagree,rather happy,fair,10,better off,most people can be trusted,quite a lot,quite a lot,3,7,10,1,48,30-49 years,middle,low
CHN,rather important,rather important,rather important,agree,disagree,strongly disagree,very happy,very good,10,better off,most people can be trusted,a great deal,quite a lot,5,10,NA,NA,62,50 years and over,middle,low
CHN,not very important,rather important,very important,disagree,agree,disagree,rather happy,good,10,worse off,most people can be trusted,a great deal,a great deal,2,3,6,1,34,30-49 years,lower,low
CHN,rather important,not very important,rather important,agree,NA,disagree,rather happy,good,8,worse off,most people can be trusted,quite a lot,quite a lot,NA,NA,10,8,57,50 years and over,lower,medium
CHN,rather important,rather important,rather important,disagree,disagree,disagree,rather happy,fair,6,better off,most people can be trusted,quite a lot,quite a lot,7,8,10,4,50,50 years and over,lower,low
CHN,rather important,not very important,rather important,agree,agree,disagree,rather happy,fair,4,better off,most people can be trusted,quite a lot,NA,10,9,10,1,55,50 years and over,middle,medium
CHN,very important,very important,very important,strongly agree,strongly agree,agree,rather happy,very good,3,better off,need to be very careful,a great deal,none at all,10,1,1,1,25,16-29 years,lower,medium
CHN,very important,not very important,very important,disagree,agree,agree,very happy,very good,10,better off,need to be very careful,quite a lot,a great deal,10,2,10,2,26,16-29 years,lower,low
CHN,very important,rather important,rather important,agree,disagree,agree,rather happy,good,6,worse off,need to be very careful,a great deal,quite a lot,6,8,6,2,23,16-29 years,lower,medium
CHN,rather important,not very important,not very important,agree,agree,disagree,very happy,very good,10,better off,most people can be trusted,a great deal,quite a lot,1,7,10,1,68,50 years and over,lower,medium
CHN,rather important,not very important,very important,agree,NA,disagree,rather happy,good,5,better off,most people can be trusted,quite a lot,quite a lot,2,4,9,1,32,30-49 years,lower,low
CHN,rather important,rather important,rather important,disagree,agree,disagree,rather happy,poor,4,better off,need to be very careful,quite a lot,quite a lot,3,6,8,1,56,50 years and over,lower,low
CHN,not very important,not very important,rather important,agree,agree,strongly disagree,very happy,fair,8,better off,need to be very careful,quite a lot,quite a lot,8,8,10,8,31,30-49 years,lower,low
CHN,rather important,not at all important,rather important,strongly agree,disagree,strongly disagree,rather happy,poor,8,better off,need to be very careful,a great deal,quite a lot,10,9,5,8,49,30-49 years,lower,low
CHN,very important,very important,very important,strongly agree,disagree,strongly disagree,rather happy,fair,6,better off,most people can be trusted,a great deal,a great deal,1,9,10,2,36,30-49 years,lower,low
CHN,rather important,rather important,not very important,strongly agree,agree,disagree,rather happy,good,8,better off,most people can be trusted,quite a lot,quite a lot,1,3,9,2,59,50 years and over,lower,medium
CHN,not very important,rather important,very important,disagree,agree,agree,rather happy,fair,8,better off,most people can be trusted,a great deal,a great deal,8,4,9,2,45,30-49 years,middle,low
CHN,rather important,not very important,rather important,disagree,disagree,strongly disagree,rather happy,good,5,better off,most people can be trusted,a great deal,quite a lot,7,9,10,1,36,30-49 years,middle,medium
CHN,very important,very important,very important,agree,disagree,strongly agree,very happy,very good,5,better off,need to be very careful,a great deal,a great deal,1,1,10,1,31,30-49 years,lower,low
CHN,not very important,not very important,rather important,agree,strongly agree,strongly agree,rather happy,very good,8,better off,most people can be trusted,quite a lot,not very much,1,10,10,10,60,50 years and over,lower,medium
CHN,not very important,rather important,very important,strongly agree,strongly agree,strongly agree,rather happy,good,10,better off,need to be very careful,quite a lot,a great deal,3,6,8,3,55,50 years and over,middle,medium
CHN,rather important,not very important,rather important,agree,disagree,disagree,rather happy,good,7,better off,most people can be trusted,a great deal,quite a lot,7,7,7,2,19,16-29 years,high,medium
CHN,very important,rather important,rather important,strongly agree,agree,strongly agree,very happy,very good,8,better off,most people can be trusted,quite a lot,a great deal,8,10,8,3,54,50 years and over,middle,low
